SECTION,TYPE,PATH,DETAIL
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Ground_Start_Zone | Cube | Mat_Jungle_Ground",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Ground_Path_01 | Cube | Mat_Jungle_Ground",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Ground_Enemy_Arena | Cube | Mat_Jungle_Ground",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Platform_Jump_01 | Cube | Mat_Wood_Platform",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Platform_Jump_02 | Cube | Mat_Wood_Platform",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Platform_Vine_Landing | Cube | Mat_Jungle_Ground",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Prop_ClimbableVine/VineStem | Cylinder | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Ground_Hazard_Clearing | Cube | Mat_Jungle_Ground",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Ground_Puzzle_Courtyard | Cube | Mat_Jungle_Ground",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Ground_Checkpoint2_Arena | Cube | Mat_Jungle_Ground",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Ground_Level_Complete_Exit | Cube | Mat_Jungle_Ground",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Trunk | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_Center | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_L | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_R | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Trunk | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_0 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_1 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_2 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_3 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_4 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_5 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Trunk | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_Center | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_L | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_R | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Trunk | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_0 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_1 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_2 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_3 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_4 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_5 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Trunk | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_Center | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_L | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_JungleCanopy/Foliage_R | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Trunk | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_0 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_1 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_2 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_3 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_4 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Tree_CoconutPalm/Frond_5 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_JungleFern/Leaf_0 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_JungleFern/Leaf_1 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_JungleFern/Leaf_2 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_JungleFern/Leaf_3 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_JungleFern/Leaf_4 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_TropicalBush/Foliage1 | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_TropicalBush/Foliage2 | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_GlowingMushroom/Stem | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_GlowingMushroom/Cap | Sphere | Mat_DivineCyan",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_HibiscusFlower/Stem | Cylinder | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Plant_HibiscusFlower/Petals | Sphere | Mat_ParrotFeather",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Rock_MossyBoulder/Mesh | Sphere | Mat_MossyRock",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Rock_MossyBoulder/Mesh | Sphere | Mat_MossyRock",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/Prop_HollowFallenLog/LogCylinder | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Head | Sphere | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Head/Snout | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Head/Ear_L | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Head/Ear_R | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Torso | Capsule | Mat_MonkeyFur",""
