OriginalObject,Category,OriginalPrefab,HDPrefab,Position,Rotation,Scale,OriginalMaterial,HDMaterial,PBRTextures,LODStatus,ColliderStatus,ReplacementStatus
"Tree_JungleCanopy","Tree","Tree_JungleCanopy.prefab","HD_Tree_JungleCanopy_01","-6.00,0.00,8.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleWood","Mat_HD_Bark_Canopy","Albedo+Normal+Smoothness","HighDetailQuadMesh","Preserved_Original","Mapped_HD_Ready"
"Tree_CoconutPalm","Tree","Tree_CoconutPalm.prefab","HD_Tree_CoconutPalm_01","6.00,0.00,15.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleWood","Mat_HD_Bark_Palm","Albedo+Normal+Smoothness","HighDetailCurvedFronds","Preserved_Original","Mapped_HD_Ready"
"Tree_JungleCanopy","Tree","Tree_JungleCanopy.prefab","HD_Tree_JungleCanopy_01","-7.00,0.00,30.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleWood","Mat_HD_Bark_Canopy","Albedo+Normal+Smoothness","HighDetailQuadMesh","Preserved_Original","Mapped_HD_Ready"
"Tree_CoconutPalm","Tree","Tree_CoconutPalm.prefab","HD_Tree_CoconutPalm_01","7.00,0.00,32.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleWood","Mat_HD_Bark_Palm","Albedo+Normal+Smoothness","HighDetailCurvedFronds","Preserved_Original","Mapped_HD_Ready"
"Tree_JungleCanopy","Tree","Tree_JungleCanopy.prefab","HD_Tree_JungleCanopy_01","-8.00,1.50,79.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleWood","Mat_HD_Bark_Canopy","Albedo+Normal+Smoothness","HighDetailQuadMesh","Preserved_Original","Mapped_HD_Ready"
"Tree_CoconutPalm","Tree","Tree_CoconutPalm.prefab","HD_Tree_CoconutPalm_01","8.00,1.50,82.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleWood","Mat_HD_Bark_Palm","Albedo+Normal+Smoothness","HighDetailCurvedFronds","Preserved_Original","Mapped_HD_Ready"
"Plant_JungleFern","Plant","Plant_JungleFern.prefab","HD_Plant_JungleFern_01","-3.00,0.50,6.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleLeaves","Mat_HD_Foliage_Fern","Albedo+Normal+Smoothness","8FrondCurvedMesh","None","Mapped_HD_Ready"
"Plant_TropicalBush","Plant","Plant_TropicalBush.prefab","HD_Plant_TropicalBush_01","3.50,0.50,10.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleLeaves","Mat_HD_Foliage_Canopy","Albedo+Normal+Smoothness","MultiDomeBushMesh","None","Mapped_HD_Ready"
"Plant_GlowingMushroom","Plant","Plant_GlowingMushroom.prefab","HD_Plant_FloweringBush_01","-2.50,0.50,22.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_DivineCyan","Mat_HD_Foliage_Flowers","Albedo+Normal+Smoothness","HighDetailFloralMesh","None","Mapped_HD_Ready"
"Plant_HibiscusFlower","Plant","Plant_HibiscusFlower.prefab","HD_Plant_FloweringBush_01","3.00,0.50,25.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_ParrotFeather","Mat_HD_Foliage_Flowers","Albedo+Normal+Smoothness","HighDetailFloralMesh","None","Mapped_HD_Ready"
"Rock_MossyBoulder","Rock","Rock_MossyBoulder.prefab","HD_Rock_MossyBoulder_01","-4.50,0.00,18.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_MossyRock","Mat_HD_Rock_MossyGranite","Albedo+Normal+Smoothness","SculptedGraniteMesh","Preserved_Original","Mapped_HD_Ready"
"Rock_MossyBoulder","Rock","Rock_MossyBoulder.prefab","HD_Rock_MossyBoulder_01","4.50,0.00,28.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_MossyRock","Mat_HD_Rock_MossyGranite","Albedo+Normal+Smoothness","SculptedGraniteMesh","Preserved_Original","Mapped_HD_Ready"
"Prop_HollowFallenLog","Tree","Prop_HollowFallenLog.prefab","HD_Tree_FallenLog_01","3.50,0.50,16.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_JungleWood","Mat_HD_Bark_Canopy","Albedo+Normal+Smoothness","HollowBarkMesh","Preserved_Original","Mapped_HD_Ready"
"Ruins_AncientArch","Ruin","Ruins_AncientArch.prefab","HD_Ruin_AncientArch_01","0.00,1.50,74.00","0.0,0.0,0.0","1.00,1.00,1.00","Mat_AncientStone","Mat_HD_Ruin_AncientMasonry","Albedo+Normal+Smoothness","CarvedFlutedMasonry","Preserved_Original","Mapped_HD_Ready"
