Asset Path,Category,3D/2D,Quality Class,Used/Unused,Reference Count,Action,Reason,Referenced By
"Assets/Procedural Tree/Prefabs/Oak Tree.prefab","Trees","3D Mesh/Prefab","High (Photorealistic PBR)","Used",4,"KEEP","Giant Canopy Hero Tree; referenced in Level01_Awakening.unity & HDLevel01CinematicIntegrator.cs","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/HDLevel01CinematicIntegrator.cs;Assets/Editor/HDTreeFoliageIntegrator.cs;Assets/Editor/HDEnvironmentBuilder.cs"
"Assets/Procedural Tree/Prefabs/Magnolia Tree.prefab","Trees","3D Mesh/Prefab","High (Photorealistic PBR)","Used",2,"KEEP","Medium Rainforest Tree; referenced in HDLevel01CinematicIntegrator.cs","Assets/Editor/HDLevel01CinematicIntegrator.cs;Assets/Editor/HDEnvironmentBuilder.cs"
"Assets/Procedural Tree/Prefabs/Elm Tree.prefab","Trees","3D Mesh/Prefab","High (Photorealistic PBR)","Used",2,"KEEP","Jungle Ridge Canopy Tree; referenced in HDLevel01CinematicIntegrator.cs","Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/Procedural Tree/Prefabs/Ash Tree.prefab","Trees","3D Mesh/Prefab","High (Photorealistic PBR)","Used",2,"KEEP","Understory Sapling Tree; referenced in HDLevel01CinematicIntegrator.cs","Assets/Editor/HDLevel01CinematicIntegrator.cs;Assets/Editor/HDEnvironmentBuilder.cs"
"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Trees","3D Mesh/Prefab","High (Photorealistic PBR)","Used",3,"KEEP","Approved HD Palm with 10 curved fronds; referenced in Level01_Awakening.unity","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/HDLevel01CinematicIntegrator.cs;Assets/Editor/HDEnvironmentBuilder.cs"
"Assets/Art/Environment/Trees/Tree_JungleCanopy.prefab","Trees","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Used",1,"REQUIRED DEPENDENCY","Legacy anchor prefab; mesh hidden via [HD_Visual], capsule collider preserved for gameplay","Assets/Scenes/Level01_Awakening.unity"
"Assets/Art/Environment/Trees/Tree_CoconutPalm.prefab","Trees","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Used",1,"REQUIRED DEPENDENCY","Legacy anchor prefab; mesh hidden via [HD_Visual], capsule collider preserved for gameplay","Assets/Scenes/Level01_Awakening.unity"
"Assets/Art/Environment/Trees/Tree_TropicalMedium.prefab","Trees","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Unused",0,"ARCHIVE/REMOVE","Unreferenced primitive placeholder asset",""
"Assets/Art/Environment/Trees/Tree_TropicalSmall.prefab","Trees","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Unused",0,"ARCHIVE/REMOVE","Unreferenced primitive placeholder asset",""
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Terrain_Textures/Road_Lieves_1_AlbedoTransparency.png","Terrain","2K/4K Texture","High (Photorealistic PBR)","Used",3,"KEEP","Main trail dirt surface texture with natural leaf litter; used in Mat_Cinematic_SoilPath","Assets/Art/Environment/HD/Materials/Mat_Cinematic_SoilPath.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Terrain_Textures/Road_Lieves_1_Normal.png","Terrain","2K/4K Normal","High (Photorealistic PBR)","Used",3,"KEEP","Main trail normal map; used in Mat_Cinematic_SoilPath","Assets/Art/Environment/HD/Materials/Mat_Cinematic_SoilPath.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Terrain_Textures/Grass_Leaves_1_AlbedoTransparency.png","Terrain","2K/4K Texture","High (Photorealistic PBR)","Used",3,"KEEP","Mossy shoulder embankment texture; used in Mat_Cinematic_MossBank","Assets/Art/Environment/HD/Materials/Mat_Cinematic_MossBank.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Terrain_Textures/Grass_Leaves_1_Normal.png","Terrain","2K/4K Normal","High (Photorealistic PBR)","Used",3,"KEEP","Mossy shoulder normal map; used in Mat_Cinematic_MossBank","Assets/Art/Environment/HD/Materials/Mat_Cinematic_MossBank.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Terrain_Textures/Cliffwall_AlbedoTransparency.png","Terrain","2K/4K Texture","High (Photorealistic PBR)","Used",3,"KEEP","Jungle ridge cliff face texture; used in Mat_Cinematic_CliffWall","Assets/Art/Environment/HD/Materials/Mat_Cinematic_CliffWall.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Terrain_Textures/Cliffwall_Normal.png","Terrain","2K/4K Normal","High (Photorealistic PBR)","Used",3,"KEEP","Jungle ridge cliff normal map; used in Mat_Cinematic_CliffWall","Assets/Art/Environment/HD/Materials/Mat_Cinematic_CliffWall.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/Art/Environment/Materials/Mat_Jungle_Ground.mat","Terrain","Material","Low (Flat Color Placeholder)","Used",2,"REQUIRED DEPENDENCY","Legacy platform material; overridden at runtime by [HD_Visual] organic mesh","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Grass_Billboard/Brake_Ferns_Bilboard.png","Foliage/Plants","2K Alpha Texture","High (Photorealistic PBR)","Used",3,"KEEP","High-res alpha cutout brake fern; used in Mat_Cinematic_FernBillboard","Assets/Art/Environment/HD/Materials/Mat_Cinematic_FernBillboard.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Grass_Billboard_Normal/Brake_Ferns_Bilboard_NormaL.png","Foliage/Plants","2K Normal","High (Photorealistic PBR)","Used",3,"KEEP","Fern normal map for realistic dynamic light reaction","Assets/Art/Environment/HD/Materials/Mat_Cinematic_FernBillboard.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Grass_Billboard/Grass_1_Billboard.png","Foliage/Plants","2K Alpha Texture","High (Photorealistic PBR)","Used",3,"KEEP","Dense tropical grass billboard; used in Mat_Cinematic_GrassBillboard","Assets/Art/Environment/HD/Materials/Mat_Cinematic_GrassBillboard.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
