Category,Asset_Name,Asset_Path,Classification,Safety_Action,Notes
Script_Player,MonkeyPlayerController.cs,Assets/Scripts/Player/MonkeyPlayerController.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,CharacterController movement jump roll physics
Script_Player,MonkeySetupBinder.cs,Assets/Scripts/Player/MonkeySetupBinder.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Player rig binding and camera mounting
Script_Player,PlayerHealth.cs,Assets/Scripts/Player/PlayerHealth.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Health damage respawn events
Script_Camera,ThirdPersonCamera.cs,Assets/Scripts/Camera/ThirdPersonCamera.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Smooth third person camera follow
Script_Combat,GuardianCombat.cs,Assets/Scripts/Combat/GuardianCombat.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Melee combos ground smash projectile fire
Script_Combat,MagicProjectile.cs,Assets/Scripts/Combat/MagicProjectile.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Projectile physics and splash damage
Script_Combat,IDamageable.cs,Assets/Scripts/Combat/IDamageable.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Universal damage interface
Script_Combat,EnemyTarget.cs,Assets/Scripts/Combat/EnemyTarget.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Aim lock-on target
Script_Combat,BreakableRelic.cs,Assets/Scripts/Combat/BreakableRelic.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Smashable relic item drops
Script_AI,EnemyAI.cs,Assets/Scripts/AI/EnemyAI.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Enemy patrol aggro attack state machine
Script_AI,WildlifeAI.cs,Assets/Scripts/AI/WildlifeAI.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Ambient wildlife wander and flee
Script_Boss,AlphaJaguarBoss.cs,Assets/Scripts/Bosses/AlphaJaguarBoss.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Boss AI Act 1
Script_Boss,StoneGolemBoss.cs,Assets/Scripts/Bosses/StoneGolemBoss.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Boss AI Act 2
Script_Boss,RiverSerpentBoss.cs,Assets/Scripts/Bosses/RiverSerpentBoss.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Boss AI Act 3
Script_Boss,ShadowBeastBoss.cs,Assets/Scripts/Bosses/ShadowBeastBoss.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Boss AI Act 4
Script_Boss,FinalBossCorruptor.cs,Assets/Scripts/Bosses/FinalBossCorruptor.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Final Boss AI Act 5
Script_Puzzle,RuneSwitch.cs,Assets/Scripts/Puzzles/RuneSwitch.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Rune puzzle switch hit trigger
Script_Puzzle,AncientDoor.cs,Assets/Scripts/Puzzles/AncientDoor.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,3-rune ancient door barrier
Script_Environment,Checkpoint.cs,Assets/Scripts/Environment/Checkpoint.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Checkpoint respawn trigger
Script_Environment,LevelExitPortal.cs,Assets/Scripts/Environment/LevelExitPortal.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Level progression exit trigger
Script_Environment,MovingPlatform.cs,Assets/Scripts/Environment/MovingPlatform.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Waypoint kinematic moving platform
Script_Environment,FloatingIsland.cs,Assets/Scripts/Environment/FloatingIsland.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Bobbing floating island
Script_Environment,FloatingLog.cs,Assets/Scripts/Environment/FloatingLog.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,River floating log platform
Script_Environment,MagicUpdraft.cs,Assets/Scripts/Environment/MagicUpdraft.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Vertical wind updraft trigger
Script_Environment,SafeZone.cs,Assets/Scripts/Environment/SafeZone.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Hazard safe zone volume
Script_Environment,WaterCurrent.cs,Assets/Scripts/Environment/WaterCurrent.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,River water velocity vector
Script_Mechanic,VineClimb.cs,Assets/Scripts/Mechanics/VineClimb.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Vertical vine climb mechanic
Script_Hazard,FireHazard.cs,Assets/Scripts/Hazards/FireHazard.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Periodic flame burst damage area
Script_Hazard,ToxicMushroom.cs,Assets/Scripts/Hazards/ToxicMushroom.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Spore cloud emitter poison hazard
Script_Hazard,Extinguisher.cs,Assets/Scripts/Collectibles/Extinguisher.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Fire hazard extinguishing mechanic
Script_Hazard,LightAura.cs,Assets/Scripts/Hazards/LightAura.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Protective light aura mechanic
Script_Collectible,CollectibleItem.cs,Assets/Scripts/Collectibles/CollectibleItem.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Banana coin rune collectible trigger
Script_Monetization,CurrencyManager.cs,Assets/Scripts/Monetization/CurrencyManager.cs,REQUIRED GAMEPLAY,LOCK & PRESERVE,Currency balance manager
