SceneObject,HierarchyPath,Primitive,Category,Material,Rank,CandidateAsset,Kind,Score,Reason
"Petals","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Petals","Sphere","foliage","Mat_ParrotFeather",1,"Assets/Art/Environment/Plants/Plant_HibiscusFlower.prefab","Prefab",65,"semantic:flower; foliage-category; project-art"
"Petals","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Petals","Sphere","foliage","Mat_ParrotFeather",2,"Assets/FlipGameDev/Terrain&GrassPack/Prefabs/WaterLily/WaterLily_Flower_Closed.prefab","Prefab",55,"semantic:flower; foliage-category"
"Petals","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Petals","Sphere","foliage","Mat_ParrotFeather",3,"Assets/FlipGameDev/Terrain&GrassPack/Prefabs/WaterLily/WaterLily_Flower_Opened.prefab","Prefab",55,"semantic:flower; foliage-category"
"Petals","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Petals","Sphere","foliage","Mat_ParrotFeather",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_1.prefab","Prefab",50,"foliage-category; high-quality"
"Petals","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Petals","Sphere","foliage","Mat_ParrotFeather",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_2.prefab","Prefab",50,"foliage-category; high-quality"
"Stem","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Stem","Cylinder","foliage","Mat_JungleLeaves",1,"Assets/Art/Environment/Plants/Plant_HibiscusFlower.prefab","Prefab",65,"semantic:flower; foliage-category; project-art"
"Stem","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Stem","Cylinder","foliage","Mat_JungleLeaves",2,"Assets/FlipGameDev/Terrain&GrassPack/Prefabs/WaterLily/WaterLily_Flower_Closed.prefab","Prefab",55,"semantic:flower; foliage-category"
"Stem","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Stem","Cylinder","foliage","Mat_JungleLeaves",3,"Assets/FlipGameDev/Terrain&GrassPack/Prefabs/WaterLily/WaterLily_Flower_Opened.prefab","Prefab",55,"semantic:flower; foliage-category"
"Stem","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Stem","Cylinder","foliage","Mat_JungleLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_1.prefab","Prefab",50,"foliage-category; high-quality"
"Stem","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Stem","Cylinder","foliage","Mat_JungleLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_2.prefab","Prefab",50,"foliage-category; high-quality"
"Leaf_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_0","Cube","foliage","Mat_JungleLeaves",1,"Assets/Art/Environment/Plants/Plant_JungleFern.prefab","Prefab",65,"semantic:fern; foliage-category; project-art"
"Leaf_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_0","Cube","foliage","Mat_JungleLeaves",2,"Assets/TerrainSampleAssets/Prefabs/Fern_A.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_0","Cube","foliage","Mat_JungleLeaves",3,"Assets/TerrainSampleAssets/Prefabs/Fern_B.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_0","Cube","foliage","Mat_JungleLeaves",4,"Assets/TerrainSampleAssets/Prefabs/Fern_C.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_0","Cube","foliage","Mat_JungleLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_1.prefab","Prefab",50,"foliage-category; high-quality"
"Leaf_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_1","Cube","foliage","Mat_JungleLeaves",1,"Assets/Art/Environment/Plants/Plant_JungleFern.prefab","Prefab",65,"semantic:fern; foliage-category; project-art"
"Leaf_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_1","Cube","foliage","Mat_JungleLeaves",2,"Assets/TerrainSampleAssets/Prefabs/Fern_A.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_1","Cube","foliage","Mat_JungleLeaves",3,"Assets/TerrainSampleAssets/Prefabs/Fern_B.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_1","Cube","foliage","Mat_JungleLeaves",4,"Assets/TerrainSampleAssets/Prefabs/Fern_C.prefab","Prefab",55,"semantic:fern; foliage-category"
